Year,Class,Scientific Name,Common Name,Global Rank,State Rank,Federal Status,State Status,SWAP Status,Counties of occurrence,
2017,Fishes,Acipenser fulvescens,lake sturgeon,G3G4,S1,,SP,EXCAU,"Counties of occurrence:  Cherokee, Limestone4, Madison4, Morgan4, Shelby4, St. Clair4, Talladega4",
2017,Fishes,Acipenser oxyrinchus desotoi,Gulf sturgeon,G3T2,S1,LT,SP,P2,"Counties of occurrence:  Baldwin, Bibb4,  Chilton4, Choctaw, Clarke, Coffee, Covington, Dale, Escambia, Elmore4, Geneva, Houston, Macon4, Marengo4, Mobile, Monroe, Sumter4, Washington, Wilcox",
2017,Dicots,Aconitum uncinatum,blue monkshood,G4,S1,,,,,
2017,Dicots,Actaea rubifolia,Appalachian bugbane,G3,SH,,,,Counties of occurrence:  Madison,
2017,Freshwater Mussels,Actinonaias ligamentina,mucket,G5,S2,,PSM,P1,"Counties of occurrence:  Colbert4, Jackson4, Lauderdale, Limestone4, Morgan4",
2017,Freshwater Mussels,Actinonaias pectorosa,pheasantshell,G4,SX,,PSM,EX,"Counties of occurrence:  Colbert4, Jackson4, Lauderdale, Limestone4",
2017,Dicots,Agalinis aphylla,leafless false-foxglove,G3G4,S2,,,,"Counties of occurrence:  Baldwin, Mobile, Washington",
2017,Dicots,Agalinis auriculata,auriculate false-foxglove,G3,S1,,,,"Counties of occurrence:  Montgomery4, Morgan4, Pickens, Wilcox4",
2017,Dicots,Agalinis divaricata,pineland false-foxglove,G3?,S1,,,,"Counties of occurrence:  Covington, Geneva",
2017,Dicots,Agalinis filicaulis,thin-stemmed false-foxglove,G3G4,S2,,,,Counties of occurrence:  Mobile,
2017,Dicots,Agalinis gattingeri,Gattinger's false-foxglove,G4,SH,,,,,
2017,Dicots,Agalinis georgiana,Georgia false-foxglove,GNR,S1,,,,"Counties of occurrence:  Covington, Geneva",
2017,Dicots,Agalinis heterophylla,prairie false-foxglove,G4G5,S2,,,,"Counties of occurrence:  Dallas, Hale, Marengo, Perry, Sumter",
2017,Dicots,Agalinis linifolia,flax-leaf false-foxglove,G4?,S2,,,,"Counties of occurrence:  Baldwin, Covington, Houston, Mobile",
2017,Dicots,Agalinis oligophylla,ridge-stem false-foxglove,G4,S1,,,,"Counties of occurrence:  Dallas, Sumter",
2017,Dicots,Agastache nepetoides,yellow giant hyssop,G5,S1,,,,"Counties of occurrence:  Jackson, Lawrence, Marshall",
2017,Dicots,Agrimonia incisa,incised groovebur,G3,S2,,,,"Counties of occurrence:  Baldwin, Mobile, Washington",
2017,Arachnids,Alabamocreagris mortis,a cave obligate pseudoscorpion7,G1G2,S1S2,,,,Counties of occurrence:  Jackson,
2017,Arachnids,Alabamocreagris pecki,a cave obligate pseudoscorpion7,G1G2,S1S2,,,,Counties of occurrence:  Marshall,
2017,Freshwater Mussels,Alasmidonta marginata,elktoe,G4,S1,,PSM,P1,"Counties of occurrence:  Colbert4, Franklin4, Jackson, Lauderdale4, Madison4",
2017,Freshwater Mussels,Alasmidonta triangulata,southern elktoe,G1Q,S1,UR,PSM,P1,Counties of occurrence:  Russell,
2017,Freshwater Mussels,Alasmidonta viridis,slippershell mussel,G4G5,S1,,SP,P1,"Counties of occurrence:  Jackson, Madison",
2017,Monocots,Allium speculae,Little River Canyon onion,G2,S2,,,,"Counties of occurrence:  Cherokee, DeKalb, Jackson, Marshall",
2017,Monocots,Allium tricoccum,wild leek,G5,S1,,,,"Counties of occurrence:  Jackson, Marshall",
2017,Insects,Allocapnia sano,Sano stonefly7,G1,S1,,,,Counties of occurrence:  Madison,
2017,Fishes,Alosa alabamae,Alabama shad,G2G3,S2,SC31,SP,P1,"Counties of occurrence:  Baldwin4, Bibb4, Choctaw, Clarke4, Covington, Dale, Dallas, Elmore4, Escambia, Geneva, Greene, Hale, Houston, Marengo4, Mobile4, Monroe, Perry4, Shelby4, Sumter, Tuscaloosa, Wilcox",
2017,Freshwater Mussels,Amblema elliottii,Coosa fiveridge,G3,S3,,PSM,,"Counties of occurrence:  Calhoun, Cherokee, Coosa, Elmore, Etowah, Jefferson, Shelby, St. Clair, Talladega, Tuscaloosa, Walker",
2017,Insects,Amblyscirtes alternata,dusky roadside-skipper,G2G3,S2S3,,,,,
2017,Amphibians,Ambystoma bishopi,Reticulated Flatwoods Salamander,G2,S1,LE,SP,P1,"Counties of occurrence16:  Baldwin, Covington, Houston, Mobile",
2017,Amphibians,Ambystoma texanum,Small-mouthed Salamander,G5,S3,,,P2,"Counties of occurrence:  Choctaw, Madison, Marion, Montgomery, Morgan, Perry, Sumter, Tuscaloosa, Washington, Wilcox",
2017,Amphibians,Ambystoma tigrinum,Eastern Tiger Salamander,G5,S3,,,P2,"Counties of occurrence:  Bibb, Bullock, Calhoun, Chilton, Cleburne, Colbert, Covington, Crenshaw, Cullman, Dale, Escambia, Geneva, Henry, Houston, Jefferson, Macon, Marshall, Mobile, Montgomery, Shelby, Talladega
Family Amphiumidae  -  Amphiumas",
2017,Fishes,Ameiurus brunneus,snail bullhead,G4,S3,,CNGF,,"Counties of occurrence:  Barbour, Chambers, Houston, Lee, Randolph, Russell",
2017,Fishes,Ameiurus catus,white catfish,G5,S3,,CNGF,,"Counties of occurrence:  Barbour, Geneva, Henry, Houston, Lee, Russell",
2017,Fishes,Ameiurus serracanthus,spotted bullhead,G3,S2,,CNGF,,"Counties of occurrence:  Barbour, Chambers, Henry, Houston, Lee, Russell",
2017,Millipedes,Ameractis satis,a cave obligate millipede,G2G4,SNR,,,,"Counties of occurrence:  Jackson, Marshall",
2017,Fishes,Ammocrypta bifascia,Florida sand darter,G4,S3,,,,"Counties of occurrence:  Baldwin, Butler, Coffee, Conecuh, Covington, Crenshaw, Dale, Escambia, Geneva, Houston, Pike",
2017,Fishes,Ammocrypta vivax,scaly sand darter,G5,S1,,,P1,Counties of occurrence:  Mobile,
2017,Birds,Ammodramus henslowii,Henslow's Sparrow,G4,S2N,,SP,P1,"Counties of occurrence:  Baldwin, Covington, Escambia, Mobile",
2017,Birds,Ammodramus leconteii,Le Conte's Sparrow,G4,S3N,,SP,,"Counties of occurrence:  Baldwin, Mobile",
2017,Birds,Ammodramus maritimus,Seaside Sparrow,G4,S2,,SP,P2,"Counties of occurrence:  Baldwin, Mobile
Family Cardinalidae  -  Cardinals and Allies",
2017,Birds,Ammodramus nelsoni,Nelson’s Sparrow,G5,S3N,,SP,P2,"Counties of occurrence:  Baldwin, Mobile",
2017,Dicots,Amorpha nitens,indigo bush,G3?,S1?,,,,Counties of occurrence: Elmore4,
2017,Dicots,Amphianthus pusillus,granite pool sprite,G2,S1,LT,,,"Counties of occurrence:  Chambers, Randolph, Tallapoosa",
2017,Monocots,Amphicarpum muehlenbergianum,blue maiden-cane,G4,S1,,,,"Counties of occurrence:  Covington, Houston",
2017,Insects,Amphinemura alabama,Alabama Forestfly,G3,S2,,,,"Counties of occurrence:  Lauderdale, Limestone",
2017,Insects,Amphinemura mockfordi,Tennessee forestfly,G2,S1,UR,,,"Counties of occurrence:  Madison
Family Perlidae  -  Common Stoneflies",
2017,Amphibians,Amphiuma means,Two-toed Amphiuma,G5,S3,,,,"Counties of occurrence:  Baldwin, Covington, Henry, Houston, Macon, Mobile, Monroe, Montgomery, Pike",
2017,Amphibians,Amphiuma pholeter,One-toed Amphiuma,G3,S1,,SP,P2,"Counties of occurrence:  Baldwin, Mobile",
2017,Amphibians,Amphiuma tridactylum,Three-toed Amphiuma,G5,S3,,,,"Counties of occurrence:  Dallas, Hale, Sumter, Tuscaloosa, Washington
Family Cryptobranchidae  -  Giant Salamanders",
2017,Dicots,Amsonia rigida,stiff blue-star,G4,S1,,,,"Counties of occurrence:  Geneva, Houston",
2017,Arachnids,Anahita punctulata,southeastern wandering spider,G4,SNR,,,,"Counties of occurrence:  Colbert, Jackson, Madison, Marshall, Morgan
Family Dictynidae  -  Meshweb Spiders",
2017,Birds,Anas fulvigula,Mottled Duck,G4,"S2N,S3B",SP,,P2,"Counties of occurrence:  Baldwin, Mobile",
2017,Birds,Anas rubripes,American Black Duck,G5,"S2B,S5N",SP,,P2,"Counties of occurrence:  Limestone, Marshall, Morgan
ORDER ACCIPITRIFORMES  -  Hawks, Kites, Eagles, and Allies Family Accipitridae  -  Kites, Eagles, and Hawks",
2017,Monocots,Andropogon arctatus,pine-woods bluestem,G3,S1,,,,"Counties of occurrence:  Covington, Geneva",
2017,Monocots,Andropogon gyrans var. stenophyllus,beardgrass,G5T4,S1,,,,,
2017,Monocots,Andropogon virginicus var. glaucus,beardgrass,G4T4T5,S2,,,,"Counties of occurrence:  Covington, Houston, Mobile",
2017,Amphibians,Aneides aeneus,Green Salamander,G3G4,S3,UR,SP,P2,"Counties of occurrence:  Cherokee, Colbert, DeKalb, Franklin, Jackson, Lauderdale, Lawrence, Madison, Marion,
Marshall, St. Clair, Tuscaloosa4, Walker, Winston",
2017,Terrestrial Snails,Anguispira alabama,Alabama tigersnail,G2,S2?,,,,,
2017,Terrestrial Snails,Anguispira alternata,flamed tigersnail,G5,S1S2,,,,,
2017,Terrestrial Snails,Anguispira cumberlandiana,Cumberland tigersnail,G3,S1S2,,,,,
2017,Terrestrial Snails,Anguispira jessica,mountain disc,G3G4,S1S2,,,,,
2017,Terrestrial Snails,Anguispira mordax,Appalachian tigersnail,G4,SNR,,,,,
2017,Insects,Anillinus valentinei,a cave obligate beetle,G3G4,S1,,,,"Counties of occurrence:  DeKalb, Jefferson",
2017,Freshwater Mussels,Anodonta hartfieldorum,cypress floater,G4,S1,,PSM,,"Counties of occurrence:  Baldwin, Covington, Escambia",
2017,Freshwater Mussels,Anodonta suborbiculata,flat floater,G5,S3,,PSM,,"Counties of occurrence:  Calhoun, Cherokee, Colbert, Covington, Dallas, Etowah, Lauderdale, Limestone, Madison, Monroe, Morgan, St. Clair, Talladega, Wilcox",
2017,Freshwater Mussels,Anodontoides radiatus,rayed creekshell,G3,S3,,PSM,P2,"Counties of occurrence:  Barbour, Bullock, Butler, Coffee, Conecuh, Covington, Dale, Dallas, Escambia, Fayette,
Geneva, Hale, Henry, Houston, Lamar, Macon, Marion, Monroe, Perry, Pickens, Pike, Russell, Sumter, Tuscaloosa, Wilcox",
2017,Freshwater Snails,Antrorbis breweri,Manitou snail7,G1,S1,UR,P1,,Counties of occurrence:  DeKalb,
2017,Reptiles,Apalone ferox,Florida Softshell,G5,S2,,RT,,"Counties of occurrence:  Baldwin, Covington, Escambia, Geneva, Mobile",
2017,Arachnids,Aphrastochthonius pecki,a cave obligate pseudoscorpion7,G1,S1,,,,Counties of occurrence:  Jefferson,
2017,Arachnids,Aphrastochthonius tenax,a cave obligate pseudoscorpion,G1G2,S1S2,,,,Counties of occurrence:  Blount,
2017,Dicots,Apios priceana,Price's potato-bean,G2,S2,LT,,,"Counties of occurrence:  Autauga, Dallas, Jackson, Lawrence, Madison, Marshall, Monroe, Wilcox",
2017,Monocots,Aplectrum hyemale,puttyroot,G5,S2,,,,"Counties of occurrence:  Conecuh, Etowah, Lawrence",
2017,Arachnids,Apochthonius russelli,a cave obligate pseudoscorpion,G1,S1,,,,Counties of occurrence:  Jackson,
2017,Arachnids,Appaleptoneta barrowsi,a cave spider7,G1,S1,,,,Counties of occurrence:  Blount,
2017,Arachnids,Appaleptoneta credulai,a cave spider7,G1,S1,,,,Counties of occurrence:  Lauderdale,
2017,Arachnids,Appaleptoneta jonesi,a cave spider7,G1,S1,,,,Counties of occurrence:  Jefferson,
